,A. Maceda,Airport Road,Anda Circle,Antipolo,Baclaran,Bluementritt,Buendia,Coastal Road,Edsa Extension,Finance Road,Gov. Forbes - Lacson,Lerma,Magsaysay Ave,P.Noval,Pablo Ocampo,Pedro Gil,Quezon Ave.,Quirino,Rajah Sulayman,Taft Ave.,U.N. Avenue,Vicente Cruz,Welcome Rotunda
Gov. Forbes - Lacson,0.6075900983279904,0.2165823908356295,0.13886950466988798,0.710365521164165,0.1029881867500106,0.5570913350605085,0.18712468305648217,0.12711691594455163,-0.02332203223862827,0.29245317009736244,1.0,0.1264272778022206,0.3394187731973803,0.3201244854390401,0.1161490693664875,0.29910638337232903,0.14801168866377537,0.35713463330624146,0.18676401089883282,0.24659494350355032,0.33090869275056206,0.7360860304468425,0.49846473457220086
Lerma,0.1094495093737699,0.15112000737337097,0.07920951462640057,0.07130171076071477,0.14624710100082222,0.11783850526149257,0.05828346842229592,0.20980197091439298,0.026789535184243266,0.07378154266613522,0.1264272778022206,1.0,-0.04077104337722053,0.3400178475872444,0.18157422197687634,0.1417932332336525,0.06731478578036766,0.10794981186983535,0.09567246141538194,0.2035530891121837,0.1560154963547188,0.11382511474246461,0.22729992975442512
Magsaysay Ave,0.23788785968190074,0.19562147516139186,0.08243071571724177,0.3019608321094563,-0.015085012674550896,0.14695990340984172,0.36716211461140363,0.06371243394939585,-0.010817017946585364,0.12205221345333281,0.3394187731973803,-0.04077104337722053,1.0,0.2740617250026351,-0.08051708034178237,0.282120016667045,0.02183349736554815,0.14906232276741557,0.10421057008083498,0.1328095029314707,0.26492412905302004,0.3054442141220425,0.25419589986736213
P.Noval,0.2536908125195682,0.32805285649651555,0.10699024886733566,0.32276704743405177,0.11314029363356161,0.2262698097438708,0.236810191993466,0.2441970586182986,0.05872552229395739,0.13904930080218605,0.3201244854390401,0.3400178475872444,0.2740617250026351,1.0,0.03138601679984629,0.3390682509123345,0.19849737244536586,0.22679640738927204,0.1616036961056906,0.24840256098680008,0.3531027640285007,0.27147654642119107,0.3785023287247749
Pablo Ocampo,0.2484491720164287,0.21801724494860047,0.15875395702827103,0.1801968964667287,0.25514451176933445,0.19136602520190676,0.08508947716662948,0.17012807729713314,0.039465659615264985,0.10010074886641257,0.1161490693664875,0.18157422197687634,-0.08051708034178237,0.03138601679984629,1.0,0.17311975374948124,0.11152822100721971,0.3743563640079204,0.1926437171250826,0.10013210159010713,0.13429651465498474,0.20566206070430454,0.10859240674997084
Pedro Gil,0.31888095195647376,0.45963210271801325,0.1266752187703493,0.3713576532031859,0.15586541491678127,0.20081098481743367,0.28527962697882275,0.3450524029099417,0.09530920573650929,0.26806193077430357,0.29910638337232903,0.1417932332336525,0.282120016667045,0.3390682509123345,0.17311975374948124,1.0,0.22600569360386483,0.33721335988729495,0.25505506722503557,0.25262709304126785,0.5371246466587536,0.3535175165353469,0.3521381869524676
Quezon Ave.,0.20834206689772555,0.20343860852962806,0.08043608417551076,0.19414386252812227,0.06169579050544033,0.16333591172860684,0.08830473941793102,0.19174773537231546,0.02057446333109909,0.058220648754216495,0.14801168866377537,0.06731478578036766,0.02183349736554815,0.19849737244536586,0.11152822100721971,0.22600569360386483,1.0,0.13287704074958098,0.09412231405911792,0.18911656026572796,0.25758803306405464,0.1935923639978476,0.2332855238651892
Quirino,0.4583707186710761,0.3596375518487942,0.1297592686031995,0.4548075750968046,0.24728376607586153,0.4512697710163223,0.12536108975935323,0.24283076010934126,0.022781900019395403,0.2221075106425243,0.35713463330624146,0.10794981186983535,0.14906232276741557,0.22679640738927204,0.3743563640079204,0.33721335988729495,0.13287704074958098,1.0,0.4449938286781072,0.20294626750448486,0.3366185741941598,0.42303457680923434,0.3734660838617748
Rajah Sulayman,0.29365080135513993,0.23853324139881002,0.057424082325227895,0.2836107744033896,0.2799064646031588,0.27455885669644436,0.2092131624747582,0.10228944944110345,0.0956744451383878,0.2848986569850078,0.18676401089883282,0.09567246141538194,0.10421057008083498,0.1616036961056906,0.1926437171250826,0.25505506722503557,0.09412231405911792,0.4449938286781072,1.0,0.1310735052255553,0.13165087013145707,0.26409887329426646,0.26192751719323915
Taft Ave.,0.23957840221379428,0.24892116251944396,0.10512548150872221,0.3061831137512271,0.12051129287564934,0.24393052544819363,0.16761057236624916,0.1889401131735958,0.07118067078796869,0.162572089593733,0.24659494350355032,0.2035530891121837,0.1328095029314707,0.24840256098680008,0.10013210159010713,0.25262709304126785,0.18911656026572796,0.20294626750448486,0.1310735052255553,1.0,0.2378946813968403,0.25948208078058566,0.3216640796327967
U.N. Avenue,0.28091316132090494,0.3359705065300889,0.23450930014877872,0.3370601669861549,0.05336205312732418,0.272582625752032,0.22285298982396584,0.38976391477669786,-0.004914432955311786,0.09215161537332128,0.33090869275056206,0.1560154963547188,0.26492412905302004,0.3531027640285007,0.13429651465498474,0.5371246466587536,0.25758803306405464,0.3366185741941598,0.13165087013145707,0.2378946813968403,1.0,0.3088963682548569,0.38288832435546927
Vicente Cruz,0.7205055686244264,0.2849013226420043,0.10562072490494771,0.7612140241432395,0.18183287629786674,0.5218510734481395,0.18270465821539397,0.17657332909827653,0.0011927591577211756,0.33901052747064236,0.7360860304468425,0.11382511474246461,0.3054442141220425,0.27147654642119107,0.20566206070430454,0.3535175165353469,0.1935923639978476,0.42303457680923434,0.26409887329426646,0.25948208078058566,0.3088963682548569,1.0,0.5003652888454502
Welcome Rotunda,0.5105413748040668,0.289160741941429,0.08976778468870367,0.5699181792609496,0.056325788831920104,0.5756692102635684,0.19114681473562845,0.2388012464792607,0.00922815781937146,0.25032661296100955,0.49846473457220086,0.22729992975442512,0.25419589986736213,0.3785023287247749,0.10859240674997084,0.3521381869524676,0.2332855238651892,0.3734660838617748,0.26192751719323915,0.3216640796327967,0.38288832435546927,0.5003652888454502,1.0
